t,label,cpu_pct_sum,rss_mb_sum,n_procs,idle_timeout_s
1788963161.4223032,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963161.6242106,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963161.825917,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963162.0275402,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963162.229255,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963162.4309042,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963162.6325874,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963162.8343544,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963163.0364287,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963163.2381258,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963163.439731,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963163.6414912,serverless_reactive:cyclical:1,0.0,36.71,1,8.0
1788963163.8502269,serverless_reactive:cyclical:1,9.6,114.84,4,8.0
1788963164.0589006,serverless_reactive:cyclical:1,206.1,146.73,4,8.0
1788963164.2604926,serverless_reactive:cyclical:1,183.6,164.13,4,8.0
1788963164.464536,serverless_reactive:cyclical:1,14.7,164.82,4,8.0
1788963164.6665027,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963164.868392,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963165.0704703,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963165.272936,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963165.4747765,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963165.6765983,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963165.878801,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963166.0807023,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963166.2826345,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963166.484452,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963166.6863735,serverless_reactive:cyclical:1,5.0,164.82,4,8.0
1788963166.88826,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963167.0907013,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963167.29281,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963167.49474,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963167.6966896,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963167.8986783,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963168.1005309,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963168.3031137,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963168.504977,serverless_reactive:cyclical:1,5.0,164.82,4,8.0
1788963168.7068853,serverless_reactive:cyclical:1,5.0,164.82,4,8.0
1788963168.9090135,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963169.1109176,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963169.3127952,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963169.514704,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963169.7166128,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963169.918523,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963170.1204417,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963170.3225193,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963170.524397,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963170.7263463,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963170.9281886,serverless_reactive:cyclical:1,5.0,164.82,4,8.0
1788963171.1303535,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963171.3327394,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963171.5347583,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963171.7367296,serverless_reactive:cyclical:1,5.0,164.82,4,8.0
1788963171.9386594,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963172.1405897,serverless_reactive:cyclical:1,0.0,164.82,4,8.0
1788963172.3424075,serverless_reactive:cyclical:1,0.0,164.89,4,8.0
1788963172.545275,serverless_reactive:cyclical:1,0.0,122.36,3,8.0
1788963172.7478383,serverless_reactive:cyclical:1,0.0,79.77,2,8.0
1788963172.9504325,serverless_reactive:cyclical:1,0.0,79.77,2,8.0
1788963173.1521094,serverless_reactive:cyclical:1,0.0,37.2,1,8.0
1788963173.3544521,serverless_reactive:cyclical:1,0.0,37.2,1,8.0
1788963173.556661,serverless_reactive:cyclical:1,0.0,37.2,1,8.0
1788963173.7636788,serverless_reactive:cyclical:1,4.8,71.25,4,8.0
1788963173.965531,serverless_reactive:cyclical:1,198.2,129.5,4,8.0
1788963174.1706061,serverless_reactive:cyclical:1,190.3,148.81,4,8.0
1788963174.3730085,serverless_reactive:cyclical:1,168.1,164.96,4,8.0
1788963174.57503,serverless_reactive:cyclical:1,4.9,164.96,4,8.0
1788963174.7768023,serverless_reactive:cyclical:1,5.0,164.96,4,8.0
1788963174.978606,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963175.1804976,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963175.3824072,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963175.5842721,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963175.786338,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963175.9883702,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963176.190301,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963176.392122,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963176.5940363,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963176.7960336,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963176.997954,serverless_reactive:cyclical:1,5.0,164.96,4,8.0
1788963177.1999202,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963177.401889,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963177.60372,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963177.8056958,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963178.0075831,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963178.2096174,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963178.411594,serverless_reactive:cyclical:1,5.0,164.96,4,8.0
1788963178.6137211,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963178.8155937,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963179.0187514,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963179.2205567,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963179.422688,serverless_reactive:cyclical:1,4.9,164.96,4,8.0
1788963179.6254785,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963179.8275547,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
1788963180.029763,serverless_reactive:cyclical:1,0.0,164.96,4,8.0
