t,label,cpu_pct_sum,rss_mb_sum,n_procs,sweep_pct,fixed_predicted_gap_s
1788965299.4601235,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965299.6620765,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965299.863889,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965300.0656846,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965300.2675467,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965300.470212,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965300.672503,serverless_predictive_fixed:cyclical:0,4.9,80.09,2,-50,4.5
1788965300.8744173,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965301.0762198,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965301.2781062,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965301.4803548,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965301.6824982,serverless_predictive_fixed:cyclical:0,0.0,80.09,2,-50,4.5
1788965301.8850355,serverless_predictive_fixed:cyclical:0,9.8,128.1,4,-50,4.5
1788965302.0876968,serverless_predictive_fixed:cyclical:0,192.4,155.07,4,-50,4.5
1788965303.0040445,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965303.20594,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965303.407667,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965303.609532,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965303.8112266,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965304.013236,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965304.2150717,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965304.4167624,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965304.6187322,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965304.8204863,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965305.0223224,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965305.2240424,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965305.4262505,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965305.62803,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965305.8297822,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965306.0315163,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965306.233353,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965306.4350944,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965306.6373622,serverless_predictive_fixed:cyclical:1,4.9,36.59,1,-50,4.5
1788965306.8391368,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965307.040912,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965307.2430453,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965307.4449975,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965307.6473837,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965307.8490524,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965308.05078,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965308.2524889,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965308.4581764,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965308.6599793,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965308.86235,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965309.064607,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965309.26669,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965309.4684887,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
