t,label,cpu_pct_sum,rss_mb_sum,n_procs,run_label
1788969853.8847058,container:bimodal:1,0.0,164.31,4,container
1788969854.0865664,container:bimodal:1,0.0,164.31,4,container
1788969854.2884946,container:bimodal:1,0.0,164.31,4,container
1788969854.490395,container:bimodal:1,0.0,164.31,4,container
1788969854.6926963,container:bimodal:1,0.0,164.31,4,container
1788969854.8945372,container:bimodal:1,0.0,164.31,4,container
1788969855.0963745,container:bimodal:1,0.0,164.31,4,container
1788969855.2983284,container:bimodal:1,0.0,164.31,4,container
1788969855.5003207,container:bimodal:1,0.0,164.31,4,container
1788969855.7023077,container:bimodal:1,0.0,164.31,4,container
1788969855.9042633,container:bimodal:1,0.0,164.31,4,container
1788969856.1062112,container:bimodal:1,0.0,164.31,4,container
1788969856.3080268,container:bimodal:1,5.0,164.31,4,container
1788969856.5099168,container:bimodal:1,0.0,164.31,4,container
1788969856.7117138,container:bimodal:1,0.0,164.31,4,container
1788969856.9143517,container:bimodal:1,4.9,164.31,4,container
1788969857.116255,container:bimodal:1,5.0,164.31,4,container
1788969857.3182127,container:bimodal:1,0.0,164.31,4,container
1788969857.520434,container:bimodal:1,0.0,164.31,4,container
1788969857.7223423,container:bimodal:1,0.0,164.31,4,container
1788969857.9241498,container:bimodal:1,0.0,164.31,4,container
1788969858.1263936,container:bimodal:1,4.9,164.41,4,container
1788969858.3280475,container:bimodal:1,0.0,164.41,4,container
1788969858.530067,container:bimodal:1,0.0,164.41,4,container
1788969858.731687,container:bimodal:1,0.0,164.41,4,container
1788969858.9333959,container:bimodal:1,0.0,164.41,4,container
1788969859.135101,container:bimodal:1,0.0,164.41,4,container
1788969859.3367658,container:bimodal:1,5.0,164.41,4,container
1788969859.538474,container:bimodal:1,0.0,164.41,4,container
1788969859.7402682,container:bimodal:1,0.0,164.41,4,container
1788969859.942239,container:bimodal:1,0.0,164.41,4,container
1788969860.1440375,container:bimodal:1,10.0,164.41,4,container
1788969860.3462884,container:bimodal:1,0.0,164.41,4,container
1788969860.5479388,container:bimodal:1,0.0,164.41,4,container
1788969860.7499065,container:bimodal:1,0.0,164.41,4,container
1788969860.9516225,container:bimodal:1,0.0,164.41,4,container
1788969861.1534772,container:bimodal:1,0.0,164.41,4,container
1788969861.3553283,container:bimodal:1,0.0,164.41,4,container
1788969861.5573332,container:bimodal:1,0.0,164.41,4,container
1788969861.759199,container:bimodal:1,0.0,164.41,4,container
1788969861.961258,container:bimodal:1,0.0,164.41,4,container
1788969862.1632404,container:bimodal:1,0.0,164.41,4,container
1788969862.365097,container:bimodal:1,0.0,164.41,4,container
1788969862.5669541,container:bimodal:1,0.0,164.41,4,container
1788969862.7686799,container:bimodal:1,0.0,164.41,4,container
1788969862.970435,container:bimodal:1,0.0,164.41,4,container
1788969863.1721718,container:bimodal:1,0.0,164.41,4,container
1788969863.3739963,container:bimodal:1,0.0,164.41,4,container
1788969863.5758612,container:bimodal:1,0.0,164.41,4,container
1788969863.777611,container:bimodal:1,0.0,164.41,4,container
1788969863.979285,container:bimodal:1,5.0,164.41,4,container
1788969864.181393,container:bimodal:1,0.0,164.41,4,container
1788969864.383328,container:bimodal:1,0.0,164.41,4,container
1788969864.5852048,container:bimodal:1,0.0,164.41,4,container
1788969864.7870913,container:bimodal:1,0.0,164.41,4,container
1788969864.9888134,container:bimodal:1,10.0,164.41,4,container
1788969865.190572,container:bimodal:1,0.0,164.41,4,container
1788969865.392491,container:bimodal:1,0.0,164.41,4,container
1788969865.5944016,container:bimodal:1,0.0,164.41,4,container
1788969865.7961054,container:bimodal:1,0.0,164.41,4,container
1788969865.9980202,container:bimodal:1,0.0,164.41,4,container
1788969866.1998558,container:bimodal:1,0.0,164.41,4,container
1788969866.4018023,container:bimodal:1,0.0,164.41,4,container
1788969866.603727,container:bimodal:1,0.0,164.41,4,container
1788969866.8057632,container:bimodal:1,0.0,164.41,4,container
1788969867.0076423,container:bimodal:1,0.0,164.41,4,container
1788969867.2095287,container:bimodal:1,0.0,164.41,4,container
1788969867.4114852,container:bimodal:1,0.0,164.41,4,container
1788969867.6135018,container:bimodal:1,0.0,164.41,4,container
1788969867.8153348,container:bimodal:1,0.0,164.41,4,container
1788969868.0173755,container:bimodal:1,0.0,164.41,4,container
1788969868.2202513,container:bimodal:1,0.0,164.41,4,container
1788969868.4221847,container:bimodal:1,0.0,164.41,4,container
1788969868.6240773,container:bimodal:1,0.0,164.41,4,container
1788969868.825969,container:bimodal:1,0.0,164.41,4,container
1788969869.027745,container:bimodal:1,5.0,164.41,4,container
1788969869.229606,container:bimodal:1,0.0,164.41,4,container
1788969869.4314826,container:bimodal:1,0.0,164.41,4,container
1788969869.6333625,container:bimodal:1,0.0,164.41,4,container
1788969869.835202,container:bimodal:1,0.0,164.41,4,container
1788969870.037233,container:bimodal:1,0.0,164.41,4,container
1788969870.239126,container:bimodal:1,5.0,164.41,4,container
1788969870.440953,container:bimodal:1,5.0,164.41,4,container
1788969870.6427877,container:bimodal:1,0.0,164.41,4,container
1788969870.844587,container:bimodal:1,0.0,164.41,4,container
1788969871.0464144,container:bimodal:1,0.0,164.41,4,container
1788969871.248205,container:bimodal:1,0.0,164.41,4,container
1788969871.4500995,container:bimodal:1,0.0,164.41,4,container
1788969871.6518435,container:bimodal:1,0.0,164.41,4,container
1788969871.85369,container:bimodal:1,0.0,164.41,4,container
1788969872.0557685,container:bimodal:1,0.0,164.41,4,container
1788969872.2580175,container:bimodal:1,0.0,164.41,4,container
1788969872.459788,container:bimodal:1,0.0,164.41,4,container
1788969872.661778,container:bimodal:1,0.0,164.41,4,container
1788969872.8636084,container:bimodal:1,0.0,164.41,4,container
1788969873.0655105,container:bimodal:1,0.0,164.41,4,container
1788969873.2674246,container:bimodal:1,0.0,164.41,4,container
1788969873.4695497,container:bimodal:1,0.0,164.41,4,container
1788969873.6715543,container:bimodal:1,10.0,164.47,4,container
1788969873.873717,container:bimodal:1,4.9,164.47,4,container
1788969874.0755076,container:bimodal:1,0.0,164.47,4,container
1788969874.2781744,container:bimodal:1,4.9,164.47,4,container
1788969874.4801528,container:bimodal:1,0.0,164.47,4,container
1788969874.6823616,container:bimodal:1,0.0,164.47,4,container
1788969874.884236,container:bimodal:1,0.0,164.47,4,container
1788969875.0861893,container:bimodal:1,0.0,164.47,4,container
1788969875.2881653,container:bimodal:1,0.0,164.47,4,container
1788969875.490063,container:bimodal:1,0.0,164.47,4,container
1788969875.6919913,container:bimodal:1,0.0,164.47,4,container
1788969875.8939795,container:bimodal:1,0.0,164.47,4,container
1788969876.096205,container:bimodal:1,9.8,164.5,4,container
1788969876.2984097,container:bimodal:1,0.0,164.5,4,container
1788969876.5004056,container:bimodal:1,0.0,164.5,4,container
1788969876.7023501,container:bimodal:1,0.0,164.5,4,container
1788969876.904261,container:bimodal:1,5.0,164.5,4,container
1788969877.1062062,container:bimodal:1,0.0,164.5,4,container
1788969877.308148,container:bimodal:1,0.0,164.5,4,container
1788969877.5105233,container:bimodal:1,4.9,164.5,4,container
1788969877.71244,container:bimodal:1,0.0,164.5,4,container
1788969877.9143617,container:bimodal:1,0.0,164.5,4,container
1788969878.1163247,container:bimodal:1,0.0,164.5,4,container
1788969878.3181822,container:bimodal:1,0.0,164.5,4,container
1788969878.519918,container:bimodal:1,0.0,164.5,4,container
1788969878.7219083,container:bimodal:1,0.0,164.5,4,container
1788969878.9238603,container:bimodal:1,0.0,164.5,4,container
1788969879.1258507,container:bimodal:1,0.0,164.5,4,container
1788969880.5721056,container:bimodal:2,0.0,164.01,4,container
1788969880.7738795,container:bimodal:2,0.0,164.01,4,container
1788969880.975516,container:bimodal:2,0.0,164.01,4,container
1788969881.1772408,container:bimodal:2,0.0,164.01,4,container
1788969881.378919,container:bimodal:2,0.0,164.01,4,container
1788969881.5806215,container:bimodal:2,0.0,164.01,4,container
1788969881.7826326,container:bimodal:2,5.0,164.01,4,container
1788969881.9844816,container:bimodal:2,5.0,164.01,4,container
1788969882.1864982,container:bimodal:2,0.0,164.01,4,container
