t,label,cpu_pct_sum,rss_mb_sum,n_procs,startup_lead_s
1788975505.606009,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975505.8080335,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975506.010327,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975506.2153249,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975506.417601,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975506.6194768,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975506.821554,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975507.0234387,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975507.2255971,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975507.4274828,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975507.630271,serverless_predictive_ewma:cyclical:1,4.9,164.68,4,0.1
1788975507.832785,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975508.0356803,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975508.2376337,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975508.4397094,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975508.6424026,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975508.8460553,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975509.0483334,serverless_predictive_ewma:cyclical:1,0.0,164.68,4,0.1
1788975509.2508347,serverless_predictive_ewma:cyclical:1,0.0,164.69,4,0.1
1788975509.4530516,serverless_predictive_ewma:cyclical:1,4.9,164.69,4,0.1
1788975509.6559386,serverless_predictive_ewma:cyclical:1,0.0,164.69,4,0.1
1788975509.859204,serverless_predictive_ewma:cyclical:1,0.0,164.69,4,0.1
1788975510.0621278,serverless_predictive_ewma:cyclical:1,0.0,164.69,4,0.1
1788975510.2641072,serverless_predictive_ewma:cyclical:1,5.0,164.69,4,0.1
1788975510.4667983,serverless_predictive_ewma:cyclical:1,0.0,164.76,4,0.1
1788975510.6687844,serverless_predictive_ewma:cyclical:1,0.0,122.2,3,0.1
1788975510.8711522,serverless_predictive_ewma:cyclical:1,4.9,79.66,2,0.1
1788975511.0730946,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
1788975511.2749395,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
1788975511.4779325,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
1788975511.680161,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
1788975511.8818765,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
1788975512.0834937,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
1788975512.28535,serverless_predictive_ewma:cyclical:1,0.0,37.09,1,0.1
